"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Switzerland","CHE","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","99.7300033569336","99.6900024414062","99.6699981689453","99.6770401000977","99.6699981689453","99.5899963378906","99.5570526123047","99.6649551391602","99.6446228027344","99.6536865234375","",
"Channel Islands","CHI","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.25","","","82.0299987792969","87.0199966430664","","82.629997253418","88.9400024414062","85.5999984741211","84.5999984741211","84.6699981689453","85.4100036621094","85.5655212402344","86.5999984741211","86.7153854370117","88.1600036621094","87.2114181518555","88.4800033569336","88.4322891235352","89.0143051147461","90.1100006103516","91.872428894043","90.5999984741211","92.221076965332","",
"China","CHN","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","55.5299987792969","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.8399963378906","","","","",
"Cote d'Ivoire","CIV","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.7999992370605","","","","","","","","","","57.4599990844727","","","","","","","","","","","","","","48.7585144042969","34.9165420532227","35.689998626709","","34.2814598083496","","","27.340274810791","","32.7200012207031","44.4454612731934","","",
"Cameroon","CMR","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.8299999237061","","","36.310001373291","","","","72.4277801513672","","","","60.223518371582","","","","","","",
"Congo, Dem. Rep.","COD","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.8659286499023","56.7900009155273","","","63.560001373291","","61.997631072998","","65.8543701171875","","","","",
"Congo, Rep.","COG","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","28.1800003051758","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.9914169311523","","","","","","","","","",
"Colombia","COL","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.9300003051758","","","","","","","","","69.3399963378906","69.7399978637695","70.7600021362305","71.5500030517578","69.5100021362305","70.9899978637695","72.0699996948242","71.7300033569336","71.5599975585938","72.4599990844727","72.9400024414062","73.8199996948242","74.620002746582","75.129997253418","76.2099990844727","76.9700012207031","78.0400009155273","79.25","81.4199981689453","81.0699996948242","81.6399993896484","82.2666397094727","",
"Comoros","COM","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.4256782531738","","","","","","","37.6526031494141","47.029109954834","","",
